¿Para qué se elaboró el “plan de contención económica social”?	['mitigar el impacto de la emergencia sanitaria']
¿Quiénes integran la comisión de expertos del FA?	['Danilo Astori, el senador Daniel Olesker, el ex ministro de Trabajo y Seguridad Social Ernesto Murro y la economista Andrea Vigorito']
¿Qué medidas establece el “plan de contención económica social” en materia laboral?	['preservación de los puestos de trabajo']
¿Cuáles son los objetivos del “plan de contención económica social”?	['“Preservar las empresas y las y los trabajadores”, “no aumentar la pobreza y la desigualdad” y prepararse para “el día después”']
¿En qué se basa el “plan de contención económica social”?	['aumento transitorio del gasto y de la inversión pública para minimizar el efecto de la desaceleración económica y su impacto en la población']
¿Cuántos casos de Covid19 hay en Bolivia?	['19']
¿Para qué fecha se aplazaron las elecciones en Bolivia por efecto del coronavirus?	['aún no hay nueva fecha']
¿Para qué fecha estaban previstas las elecciones en Bolivia?	['3 de mayo']
¿Cuándo entran en cuarentena total los ciudadanos de Bolivia?	['Este domingo']
¿Por cuánto tiempo está previsto el confinamiento en Bolivia?	['14 días']
¿Hace cuánto tiempo Argentina está en cuarentena?	['']
¿Quién recomienda mantener el aislamiento social en Argentina?	['un grupo de expertos de entidades nacionales e internacionales']
¿Cuándo comenzó el aislamiento en Argentina?	['']
¿Quiénes apoyan el aislamiento social en Argentina?	['']
¿Quién es el Ministro de Salud de Argentina?	['Ginés González García']
¿En qué provincias se flexibilizó la cuarentena?	['Entre Ríos, Misiones, Salta, San Juan y Neuquén', 'San Juan, Santa Cruz, Misiones, Entre Ríos, Mendoza y Neuquén']
¿Hasta cuándo durará el aislamiento obligatorio en Argentina?	['hasta el 10 de mayo']
¿Cuáles son las zonas de Argentina más afectadas por el Covid?	['la ciudad de Buenos Aires y en la zona metropolitana']
¿Cuándo se supendieron las clases?	['']
¿Quién pidió no retomar las clases el 22 de abril?	['La Sociedad de Medicina Rural del Uruguay (Someruy)']
¿Cuándo se piensa retomar las clases presenciales?	['el miércoles 22 de abril']
¿En cuántas escuelas rurales se piensa retomar la presencialidad?	['973']
¿Quién decidió retomar las clases presenciales el 22 de abril?	['gobierno']
¿En qué departamento no se retomarán las clases de las escuelas rurales?	['Canelones']
¿Qué es someruy?	['La Sociedad de Medicina Rural del Uruguay']
¿Qué porcentaje de médicos uruguayos vive y asiste al norte del río negro?	['menos de 6%']
¿Quién es el presidente de la Federación Médica del Interior?	['Patricia Nava']
¿Quién es Patricia Nava?	['La presidenta de Femi']
¿Qué es la FEMI?	['La Federación Médica del Interior']
¿Cuántos casos de Face News se han observado en relación el Coronavirus?	['']
¿Cuándo se detectó el primer caso de Coronavirus?	['']
¿Quién es la vicepresidenta del Uruguay?	['Beatriz Argimón']
¿Para qué fecha estaban previstas las elecciones departamentales?	['Beatriz Argimón']
¿Quién es Iván Posada?	['diputado del Partido Independiente']
¿En cuánto tiempo se prevee la recuperación de la economía?	['las consecuencias económicas, sociales y sanitarias son de largo plazo']
¿Cuál es el aumento del nivel de pobreza causado por el coronavirus?	['']
¿Cuál es el país con más casos de Covid19 hasta la fecha?	['China']
¿Cuál es el país que tiene registra más muertes causadas por Covid19 hasta la fecha?	['Italia']
¿Cuál es la clave Coreana para tener una baja tasa de mortalidad a causa del Covid19?	['testeo masivo de la población']
¿Qué causó el incremento de solicitudes de seguro de desempleo?	['suspensión de la actividad']
¿Cuántas solicitudes de seguro de desempleo se presentaron en Montevideo?	['La mitad']
¿En qué departamentos se presentaron solicitudes de seguro de desempleo?	['Montevideo, seguido por Canelones, Maldonado, Colonia, Paysandú, Salto y Tacuarembó']
¿En qué departamento se presentaron más solicitudes de seguro de desempleo?	['Montevideo']
¿Cuándo se presentaron las solicitudes de seguro de desempleo?	['Hasta el miércoles 18']
¿Cuántas personas son consideradas aglomeración?	['']
¿Cuánta distancia hay que mantener con las personas para no contagiarse?	['mayor a un metro', 'un metro o más']
¿Cuánto dura la enfermedad por Covid?	['']
¿Por cuánto tiempo es contagioso el Covid?	['']
¿Qué porcentaje de personas mueren por Covid?	['alrededor de 2%']
¿Por cuánto tiempo hay que lavarse las manos para evitar el Covid?	['más de 20 segundos']
¿Cuándo aparecen los síntomas de Covid?	['entre los dos y los 14 días después de haber contraído el virus']
¿Hasta cuánto tiempo después del contagio se pueden presentar síntomas de Covid?	['14 días']
¿Qué porcentaje de personas fueron asintomáticas en Islandia?	['50%']
¿Qué porcentaje de personas con Covid van a CTI?	['alrededor de 5%', '5%']
¿Qué porcentaje de personas presenta síntomas leves de Covid?	['alrededor de 80%']
¿Qué porcentaje de personas se enferma de forma grave de Covid?	['en el entorno de 15% atraviesa una enfermedad grave que involucra dificultad para respirar y el 5% restante ha precisado atención en CTI']
¿Cuándo se empezó a recomendar el uso de tapabocas?	['En abril']
¿Cada cuánto tiempo hay que cambiarse el tapabocas?	['cuando está húmedo o cada cuatro horas']
¿Quiénes tienen que hacer cuarentena obligatoria en Uruguay?	['las personas que tengan un diagnóstico de covid-19 o que sospechen que pueden tener la enfermedad']
¿Cuántos tipos de coronavirus afectan a los humanos?	['siete']
¿Cuándo se descubrió el Covid-19?	['en diciembre de 2019']
¿Dónde se descubrió el Covid-19?	['en la provincia china de Wuhan']
¿Cuál es el nombre completo del covid?	['SARS-CoV-2']
¿Cuándo se dio a conocer el nombre completo del covid?	['el 11 de febrero']
¿Quién le puso nombre completo al covid?	['la OMS']
¿Cuáles medicamentos sirvieron hasta ahora para tratar el covid?	['la cloroquina y la hidroxicloroquina']
¿Cuándo es la Feria Judicial Sanitaria?	['desde el 14 de marzo del corriente año, la Suprema Corte de Justicia (SCJ, órgano máximo de nuestro Poder Judicial) resolvió comenzar una Feria Judicial Sanitaria que en principio se extenderá, según la propia SCJ, hasta el jueves 30 de abril']
¿Quiénes hacen la Feria Judicial Sanitaria?	['']
¿Cuánto dura la Feria Judicial Sanitaria?	['']
¿Cuándo se reanudaría el trabajo judicial tras la Feria Judicial Sanitaria?	['el lunes 4 de mayo']
¿Quién resolvió hacer la Feria Judicial Sanitaria?	['la Suprema Corte de Justicia (SCJ, órgano máximo de nuestro Poder Judicial)']
¿Quién es el secretario general de la OMS?	['el etíope Tedros Adhanom Ghebreyesus']
¿Cuándo se pronostica que va a terminar la pandemia?	['']
¿Cuánto se pronostica que va a durar la pandemia?	['']
¿Cuál es la cepa de Covid más peligrosa hasta ahora?	['']
¿Cuáles fueron los países más afectados por el Covid?	['Italia, España y Francia']
¿Cuándo se declaró el estado de emergencia en el mundo por el Covid?	['el 30 de enero']
¿Qué presidente le quitó el financiamiento a la OMS?	['estadounidense Donald Trump']
¿Cuántos casos de Covid hay en Brasil?	['20.861']
¿Quién es el Ministro de Salud de Brasil?	['']
¿Cuántas muertes por Covid hubo hasta ahora en Brasil?	['3.313']
¿Cuáles son las zonas de Brasil más afectadas por el Covid?	['San Pablo y Río de Janeiro']
¿Cómo se llama el ex Ministro de Salud de Brasil, destituido por Bolsonaro?	['Luiz Henrique Mandetta']
¿Quién es el gobernador de la provincia Buenos Aires?	['Axel Kicillof']
¿Qué medidas propuso el gobierno argentino para evitar la propagación del Coronavirus?	['']
¿Cuántas personas viven en la provincia de Buenos Aires?	['11 millones']
¿Quién es el ministro de economía argentino?	['Martín Guzmán']
¿Quién es el ministro de desarrollo social argentino?	['Daniel Arroyo']
¿Quién lidera las propuestas de medidas económicas?	['']
¿Cuántas personas han perdido su trabajo debido a la pandemia?	['']
¿Cuál es el sector terciario de la economía?	['servicios']
¿Qué prestaciones ofrece el Ministerio de Desarrollo Social?	['Asignación Familiar, Asignación Familiar Plan de Equidad, Tarjeta Uruguay Social']
¿Cuál es la devaluación real del peso?	['23%']
¿Quién es el vocero de Comida para Héores? 	['Shai Steinhaus']
¿Dónde queda el bar Rumba?	['Héctor Miranda y Ellauri']
¿Cuántos niños recibieron su almuerzo en el merendero en Nueva España?	['50']
¿Cómo apoya Pedidos Ya con la logística? 	['cediendo motos tres veces por semana para el envío de las viandas']
¿Cuánto vale cada vianda que se dona por heroes.uy?	['80 pesos']
¿Qué es Bibliobarrio?	['biblioteca']
¿Qué tipo de contenidos disponibiliza UNICEF?	['recursos para desarrollar actividades en casa']
¿Para qué es la guía que se puede descargar de la página de UNICEF?	['para hablar sobre el Covid-19']
¿De qué trata el libro disponible en la página de Unicef?	['sobre los derechos del niño']
¿Para qué plataformas está disponible el juego Right Runner?	['juego para celular']
¿Qué es el Ibuprofeno?	['antiinflamatorio no esteroideo']
